segment,start,end,keep,comment
0,1.63,2.7,,Intermediate axis rotation
1,17.3,18.4,,Intermediate axis rotation
2, 22.7, 23.78,,Intermediate axis rotation
3, 26.58, 27.6,,Intermediate axis rotation
4, 32.5, 33.6,,Intermediate axis rotation
5, 39.36, 40.58,,Intermediate axis rotation
6, 44.8, 45.8,,Intermediate axis rotation
7, 50.2, 51.23,,Intermediate axis rotation
8, 54.8, 55.9,,Intermediate axis rotation
9, 58.8, 59.9,,Intermediate axis rotation
10, 62.68, 63.8,,Intermediate axis rotation
11, 71.8, 72.85,,Intermediate axis rotation
12, 76.2, 77.4,,Intermediate axis rotation
13, 81, 82,,Intermediate axis rotation
14, 87.2, 88.3,,Intermediate axis rotation
15, 92.2, 93.3,,Intermediate axis rotation
16, 95.75, 96.8,,Intermediate axis rotation
17, 99.65, 100.85,,Intermediate axis rotation
18, 103.4, 104.5,,Intermediate axis rotation
19, 106.8, 107.88,,Intermediate axis rotation
20, 111.9, 113.11,,Intermediate axis rotation
21, 116.35, 117.5,,Intermediate axis rotation
22, 120.9, 122,,Intermediate axis rotation
23, 124.33, 125.4,,Intermediate axis rotation
24, 129.2, 129.65,,Intermediate axis rotation
25, 133.8, 134.9,,Intermediate axis rotation
26, 137.4, 138.5,,Intermediate axis rotation
27, 140.9, 142.1,,Intermediate axis rotation
28, 145.4, 146.585,,Intermediate axis rotation
29, 151.85, 152.95,,Intermediate axis rotation
30, 157.9, 159.0,,Intermediate axis rotation
31, 163.7, 164.8,,Intermediate axis rotation
32, 168.1, 169.28,,Intermediate axis rotation
33, 172.6, 173.65,,Intermediate axis rotation
34, 177.25, 178.3,,Intermediate axis rotation
35, 181.55, 182.6,,Intermediate axis rotation
36, 185.9, 186.9,,Intermediate axis rotation
37, 189.8, 190.95,,Intermediate axis rotation
38, 195.38, 196.5,,Intermediate axis rotation
40, 199.4, 200.5,,Intermediate axis rotation
41, 203.4, 204.6,,Intermediate axis rotation
42, 206.95, 207.65,,Intermediate axis rotation